Playerid,Name,Age,Nationality,Overall,Potential,Club,Value,Wage
58,Diego Costa,28,Spain,86,86,Chelsea,46000000,240000
59,R. Nainggolan,29,Belgium,86,86,Roma,42500000,130000
60,J. Martinez,28,Spain,86,86,FC Bayern Munich,36000000,165000
61,D. Mertens,30,Belgium,86,86,Napoli,43000000,135000
62,Sokratis,29,Greece,86,86,Borussia Dortmund,34500000,110000
63,Miranda,32,Brazil,86,86,Inter,25500000,115000
64,K. Benzema,29,France,86,86,Real Madrid CF,44500000,310000
65,C.  Fabregas,30,Spain,86,86,Chelsea,41000000,215000
66,F. Ribary,34,France,86,86,FC Bayern Munich,22500000,175000
67,Pepe,34,Portugal,86,86,Besiktas JK,13500000,95000
68,P. Cech,35,Czech Republic,86,86,Arsenal,10500000,92000
69,Y. Carrasco,23,Belgium,85,90,Atlatico Madrid,51500000,77000
70,R. Varane,24,France,85,92,Real Madrid CF,46500000,175000
71,Casemiro,25,Brazil,85,89,Real Madrid CF,42000000,195000
72,L. Insigne,26,Italy,85,86,Napoli,45000000,115000
73,A. Lacazette,26,France,85,88,Arsenal,48500000,185000
74,K. Navas,30,Costa Rica,85,85,Real Madrid CF,24500000,165000
75,H. Mkhitaryan,28,Armenia,85,85,Manchester United,39000000,195000
76,D. Subasic,32,Croatia,85,85,AS Monaco,22000000,46000
77,B. Leno,25,Germany,85,88,Bayer 04 Leverkusen,34000000,61000
78,M. ter Stegen,25,Germany,85,89,FC Barcelona,35500000,155000
79,K. Glik,29,Poland,85,85,AS Monaco,30000000,60000
80,Jordi Alba,28,Spain,85,85,FC Barcelona,30500000,220000
81,I. Gaendossan,26,Germany,85,87,Manchester City,46000000,190000
82,Azpilicueta,27,Spain,85,87,Chelsea,37500000,160000
83,A. Di Maraea,29,Argentina,85,85,Paris Saint-Germain,37500000,145000
84,M. Pjanic,27,Bosnia Herzegovina,85,86,Juventus,43500000,160000
85,C. Marchisio,31,Italy,85,85,Juventus,33000000,160000
86,J. Vertonghen,30,Belgium,85,85,Tottenham Hotspur,28500000,130000
87,B. Matuidi,30,France,85,85,Juventus,28500000,145000
88,S. Ruffier,30,France,85,85,AS Saint-Etienne,24500000,49000
89,Filipe Luaes,31,Brazil,85,85,Atlatico Madrid,25000000,81000
90,V. Kompany,31,Belgium,85,85,Manchester City,26000000,170000
91,A. Barzagli,36,Italy,85,85,Juventus,5000000,105000
92,E. Bailly,23,Ivory Coast,84,89,Manchester United,35500000,150000
93,Marco Asensio,21,Spain,84,92,Real Madrid CF,46000000,175000
94,Bernardo Silva,22,Portugal,84,91,Manchester City,43500000,165000
95,A. Laporte,23,France,84,89,Athletic Club de Bilbao,35500000,36000
96,D. Alli,21,England,84,90,Tottenham Hotspur,43000000,115000
97,S. Mana,25,Senegal,84,87,Liverpool,39000000,180000
98,Carvajal,25,Spain,84,87,Real Madrid CF,32000000,195000
99,J. Draxler,23,Germany,84,87,Paris Saint-Germain,39500000,120000
100,M. Icardi,24,Argentina,84,89,Inter,42000000,105000
101,Morata,24,Spain,84,88,Chelsea,41000000,170000
102,K. Koulibaly,26,Senegal,84,87,Napoli,32500000,96000
103,T. Horn,24,Germany,84,90,1. FC Kaln,31000000,39000
104,Koke,25,Spain,84,88,Atlatico Madrid,39500000,84000
105,K. Manolas,26,Greece,84,86,Roma,31500000,96000
106,S. Mustafi,25,Germany,84,86,Arsenal,31500000,145000
107,Ander Herrera,27,Spain,84,84,Manchester United,32000000,195000
108,K. Strootman,27,Netherlands,84,85,Roma,35000000,105000
109,Pedro,29,Spain,84,84,Chelsea,30500000,200000
110,R. Baerki,26,Switzerland,84,86,Borussia Dortmund,26000000,69000
111,Bruno,33,Spain,84,84,Villarreal CF,18500000,59000
112,I. Perisic,28,Croatia,84,84,Inter,31500000,110000
113,E. Dzeko,31,Bosnia Herzegovina,84,84,Roma,28000000,115000
114,Willian,28,Brazil,84,84,Chelsea,31500000,205000
115,S. Khedira,30,Germany,84,84,Juventus,29000000,160000
116,R. Fahrmann,28,Germany,84,85,FC Schalke 04,25000000,54000
117,Sergio Asenjo,28,Spain,84,85,Villarreal CF,25000000,46000
118,Juan Mata,29,Spain,84,84,Manchester United,30500000,200000
119,M. Benatia,30,Morocco,84,84,Juventus,23000000,145000
120,D. Payet,30,France,84,84,Olympique de Marseille,29500000,60000
121,Falcao,31,Colombia,84,84,AS Monaco,28000000,68000
122,L. Koscielny,31,France,84,84,Arsenal,21000000,150000
123,G. Cahill,31,England,84,84,Chelsea,21000000,165000
124,Dani Alves,34,Brazil,84,84,Paris Saint-Germain,9000000,115000
125,A. Gamez,29,Argentina,84,84,Atalanta,31000000,60000
126,Aduriz,36,Spain,84,84,Athletic Club de Bilbao,11000000,38000
127,K. Mbappa,18,France,83,94,Paris Saint-Germain,41500000,31000
128,O. Dembala,20,France,83,92,FC Barcelona,40000000,150000
129,N. Keita,22,Guinea,83,88,RB Leipzig,34000000,68000
130,J. Gimanez,22,Uruguay,83,87,Atlatico Madrid,28500000,53000
131,G. Rulli,25,Argentina,83,89,Real Sociedad,25500000,28000
132,T. Lemar,21,France,83,91,AS Monaco,38500000,37000
133,Joao Mario,24,Portugal,83,88,Inter,34000000,70000
134,N. Saele,21,Germany,83,89,FC Bayern Munich,30500000,78000
135,Ederson,23,Brazil,83,89,Manchester City,26000000,87000
136,Fabinho,23,Brazil,83,88,AS Monaco,29500000,37000
137,M. Salah,25,Egypt,83,86,Liverpool,32500000,135000
138,A. Belotti,23,Italy,83,90,Torino,37000000,58000
139,E. Forsberg,25,Sweden,83,85,RB Leipzig,31500000,75000
140,Marquinhos,23,Brazil,83,89,Paris Saint-Germain,30500000,75000
141,William Carvalho,25,Portugal,83,86,Sporting CP,27500000,21000
142,S. Umtiti,23,France,83,88,FC Barcelona,29500000,135000
143,R. Mahrez,26,Algeria,83,84,Leicester City,30500000,88000
144,V. van Dijk,25,Netherlands,83,86,Southampton,27500000,89000
145,Roberto Firmino,25,Brazil,83,87,Liverpool,34000000,135000
146,Danilo Pereira,25,Portugal,83,86,FC Porto,27500000,18000
147,Vitolo,27,Spain,83,83,UD Las Palmas,27000000,68000
148,A. Lopes,26,Portugal,83,86,Olympique Lyonnais,22500000,60000
149,S. de Vrij,25,Netherlands,83,88,Lazio,29000000,56000
150,M. Perin,24,Italy,83,88,Genoa,25000000,28000
151,J. Matip,25,Cameroon,83,85,Liverpool,26500000,110000
152,I. Gueye,27,Senegal,83,84,Everton,24500000,115000
153,Iago Aspas,29,Spain,83,83,RC Celta de Vigo,26000000,39000
154,N. Otamendi,29,Argentina,83,83,Manchester City,20000000,140000
155,N. Matic,28,Serbia,83,83,Manchester United,21000000,140000
156,J. Pastore,28,Argentina,83,83,Paris Saint-Germain,25500000,100000
157,Parejo,28,Spain,83,83,Valencia CF,25500000,45000
158,S. Kagawa,28,Japan,83,83,Borussia Dortmund,26000000,75000
159,G. Bonaventura,27,Italy,83,83,Milan,26500000,115000
160,B. Dost,28,Netherlands,83,83,Sporting CP,27000000,28000
161,K. Walker,27,England,83,84,Manchester City,24000000,130000
162,Oscar,25,Brazil,83,86,,0,0
163,S. Nzonzi,28,France,83,83,Sevilla FC,21000000,25000
164,M. Musacchio,26,Argentina,83,86,Milan,27000000,105000
165,O. Toprak,27,Turkey,83,84,Borussia Dortmund,24500000,66000
166,Josa Callejan,30,Spain,83,83,Napoli,24500000,87000
167,Adrien Silva,28,Portugal,83,83,,0,0
168,S. Giovinco,30,Italy,83,83,Toronto FC,25000000,15000
169,N. Gaitan,29,Argentina,83,83,Atlatico Madrid,25500000,70000
170,M. Mandzukic,31,Croatia,83,83,Juventus,23500000,135000
171,A. Lallana,29,England,83,83,Liverpool,25000000,135000
172,B. Hawedes,29,Germany,83,83,Juventus,20000000,50000
173,E. Banega,29,Argentina,83,83,Sevilla FC,25500000,27000
174,Rui Patraecio,29,Portugal,83,83,Sporting CP,17500000,19000
175,Y. Sommer,28,Switzerland,83,84,Borussia Manchengladbach,21000000,39000
176,M. Schneiderlin,27,France,83,85,Everton,25500000,115000
177,Jonas,33,Brazil,83,83,SL Benfica,16500000,21000
178,K. Gameiro,30,France,83,83,Atlatico Madrid,25000000,73000
179,L. Piszczek,32,Poland,83,83,Borussia Dortmund,14500000,66000
180,E. Garay,30,Argentina,83,83,Valencia CF,19000000,40000
181,A. Valencia,31,Ecuador,83,83,Manchester United,17000000,130000
182,K. Schmeichel,30,Denmark,83,84,Leicester City,19000000,65000
183,M. Dembala,29,Belgium,83,83,Tottenham Hotspur,25000000,115000
184,Borja Valero,32,Spain,83,83,Inter,20000000,80000
185,L. Perrin,31,France,83,83,AS Saint-Etienne,17500000,46000
186,L. Biglia,31,Argentina,83,83,Milan,17500000,105000
187,Juanfran,32,Spain,83,83,Atlatico Madrid,14500000,62000
188,Diego Lapez,35,Spain,83,83,RCD Espanyol,6000000,19000
189,Santi Cazorla,32,Spain,83,83,Arsenal,19500000,130000
190,J. Mascherano,33,Argentina,83,83,FC Barcelona,10500000,160000
191,W. Sneijder,33,Netherlands,83,83,OGC Nice,15500000,47000
192,Nani,30,Portugal,83,83,Lazio,24500000,47000
193,D. De Rossi,33,Italy,83,83,Roma,10500000,73000
194,Josa Reina,34,Spain,83,83,Napoli,10500000,59000
195,Quaresma,33,Portugal,83,83,Besiktas JK,15500000,67000
196,Y. Toura,34,Ivory Coast,83,83,Manchester City,12500000,145000
197,Casillas,36,Spain,83,83,FC Porto,3500000,10000
198,G. Donnarumma,18,Italy,82,94,Milan,28500000,35000
199,L. Sana,21,Germany,82,91,Manchester City,34500000,125000
200,T. Bakayoko,22,France,82,88,Chelsea,26000000,105000
201,C. Tolisso,22,France,82,89,FC Bayern Munich,30500000,98000
202,I. Slimani,29,Algeria,82,82,Leicester City,22000000,105000
203,N. Fekir,23,France,82,85,Olympique Lyonnais,28000000,70000
204,J. Seri,25,Ivory Coast,82,83,OGC Nice,26000000,45000
205,K. Balda Diao,22,Senegal,82,90,AS Monaco,32500000,46000
206,J. Tah,21,Germany,82,88,Bayer 04 Leverkusen,26000000,47000
207,F. Bernardeschi,23,Italy,82,88,Juventus,30500000,110000
208,T. Werner,21,Germany,82,87,RB Leipzig,30500000,68000
209,Andra Gomes,23,Portugal,82,88,FC Barcelona,30000000,150000
210,A. Martial,21,France,82,90,Manchester United,33000000,115000
211,L. Goretzka,22,Germany,82,88,FC Schalke 04,30000000,46000
212,Q. Promes,25,Netherlands,82,85,Spartak Moscow,28000000,76000
213,Lucas Vazquez,26,Spain,82,83,Real Madrid CF,26000000,190000
214,Saal,22,Spain,82,90,Atlatico Madrid,32000000,59000
215,Felipe,28,Brazil,82,82,FC Porto,18000000,20000
216,C. Bacca,30,Colombia,82,82,Villarreal CF,21500000,125000
217,F. Vazquez,28,Italy,82,82,Sevilla FC,22500000,27000
218,M. Kovacic,23,Croatia,82,88,Real Madrid CF,30000000,150000
219,Sergio Rico,23,Spain,82,87,Sevilla FC,21500000,16000
220,Manu Trigueros,25,Spain,82,85,Villarreal CF,27500000,43000
221,A. Raediger,24,Germany,82,86,Chelsea,24500000,105000
222,F. Thauvin,24,France,82,85,Olympique de Marseille,28000000,40000
223,S. Savic,26,Montenegro,82,86,Atlatico Madrid,24000000,62000
224,Inigo Martinez,26,Spain,82,86,Real Sociedad,24000000,37000
225,Roque Mesa,28,Spain,82,82,Swansea City,18000000,85000
226,A. Florenzi,26,Italy,82,84,Roma,22000000,73000
227,D. Klaassen,24,Netherlands,82,85,Everton,27500000,110000
228,K. Bellarabi,27,Germany,82,82,Bayer 04 Leverkusen,23000000,67000
229,R. Sterling,22,England,82,87,Manchester City,29500000,140000
230,Suso,23,Spain,82,87,Milan,29500000,110000
231,Deulofeu,23,Spain,82,89,FC Barcelona,31000000,165000
232,E. Dier,23,England,82,87,Tottenham Hotspur,25000000,85000
233,M. Rojo,27,Argentina,82,83,Manchester United,21000000,130000
234,Lucas,24,Brazil,82,85,Paris Saint-Germain,28000000,92000
235,H. Son,24,Korea Republic,82,85,Tottenham Hotspur,28000000,95000
236,F. Acerbi,29,Italy,82,82,Sassuolo,17000000,68000
237,G. Xhaka,24,Switzerland,82,85,Arsenal,27500000,110000
238,Jonathan Viera,27,Spain,82,82,UD Las Palmas,23000000,31000
239,Pizzi,27,Portugal,82,82,SL Benfica,23000000,19000
240,Willian Josa,25,Brazil,82,86,Real Sociedad,29000000,42000
241,O. Baumann,27,Germany,82,84,TSG 1899 Hoffenheim,18000000,37000
242,G. Medel,29,Chile,82,82,Besiktas JK,17000000,64000
243,Vaector Ruaez,28,Spain,82,83,Villarreal CF,20000000,43000
244,X. Shaqiri,25,Switzerland,82,85,Stoke City,28000000,85000
245,J. Cuadrado,29,Colombia,82,82,Juventus,21500000,130000
246,C. Immobile,27,Italy,82,83,Lazio,26000000,70000
247,Douglas Costa,26,Brazil,82,82,Juventus,24000000,115000
248,N. Clyne,26,England,82,84,Liverpool,22000000,115000
249,Iborra,29,Spain,82,82,Leicester City,17000000,85000
250,K. Trapp,26,Germany,82,84,Paris Saint-Germain,18500000,71000
251,V. Wanyama,26,Kenya,82,85,Tottenham Hotspur,23000000,99000
252,Taison,29,Brazil,82,82,Shakhtar Donetsk,21500000,1000
253,Marlos,29,Brazil,82,82,Shakhtar Donetsk,21500000,1000
254,L. Stindl,28,Germany,82,82,Borussia Manchengladbach,23000000,56000
255,M. Balotelli,26,Italy,82,82,OGC Nice,24500000,51000
256,A. Ramsey,26,Wales,82,83,Arsenal,25500000,130000
257,W. Szczesny,27,Poland,82,84,Juventus,18000000,90000
258,G. SigurIsson,27,Iceland,82,82,Everton,23000000,130000
259,Y. Brahimi,27,Algeria,82,82,FC Porto,23000000,21000
260,M. Arnautovia,28,Austria,82,82,West Ham United,22500000,125000
261,J. Henderson,27,England,82,84,Liverpool,21500000,115000
262,M. Kruse,29,Germany,82,82,SV Werder Bremen,22000000,47000
263,O. Karnezis,31,Greece,82,82,Watford,13500000,30000
264,L. Fejsa,28,Serbia,82,82,SL Benfica,18000000,18000
265,F. Muslera,31,Uruguay,82,82,Galatasaray SK,13500000,57000
266,V. Corluka,31,Croatia,82,82,Lokomotiv Moscow,15000000,54000
267,G. Wijnaldum,26,Netherlands,82,85,Liverpool,27000000,130000
268,F. Fazio,30,Argentina,82,82,Roma,16500000,73000
269,O. Giroud,30,France,82,82,Arsenal,21500000,140000
270,B. Ivanovic,33,Serbia,82,82,Zenit St. Petersburg,9000000,73000
271,J. Hernandez,29,Mexico,82,82,West Ham United,22000000,135000
272,Benat,30,Spain,82,82,Athletic Club de Bilbao,20500000,35000
273,L. Bender,28,Germany,82,83,Bayer 04 Leverkusen,20000000,64000
274,A. Witsel,28,Belgium,82,82,,0,0
275,C. Bravo,34,Chile,82,82,Manchester City,9000000,110000
276,A. Begovic,30,Bosnia Herzegovina,82,82,Bournemouth,14000000,64000
277,Naldo,34,Brazil,82,82,FC Schalke 04,6500000,48000
278,D. Sturridge,27,England,82,82,Liverpool,23500000,140000
279,D. Rose,26,England,82,83,Tottenham Hotspur,21000000,99000
280,C. Vela,28,Mexico,82,82,Real Sociedad,22500000,46000
281,E. Viviano,31,Italy,82,82,Sampdoria,13500000,37000
282,G. Castro,30,Germany,82,82,Borussia Dortmund,20500000,72000
283,S. Nasri,30,France,82,82,Antalyaspor,21000000,29000
284,A. Williams,32,Wales,82,82,Everton,12500000,115000
285,S. Mandanda,32,France,82,82,Olympique de Marseille,12500000,31000
286,L. Baines,32,England,82,82,Everton,12500000,115000
287,A. Consigli,30,Italy,82,82,Sassuolo,14000000,52000
288,Joao Moutinho,30,Portugal,82,82,AS Monaco,20500000,48000
289,B. Costil,29,France,82,82,Girondins de Bordeaux,15000000,46000
290,Raal Albiol,31,Spain,82,82,Napoli,15000000,73000
291,J. Hart,30,England,82,82,West Ham United,14000000,110000
292,M. Gamez,31,Germany,82,82,VfL Wolfsburg,20000000,85000
293,Raffael,32,Brazil,82,82,Borussia Manchengladbach,17500000,54000
294,A. Turan,30,Turkey,82,82,FC Barcelona,20500000,175000
295,Fernandinho,32,Brazil,82,82,Manchester City,12500000,130000
296,David Villa,35,Spain,82,82,New York City Football Club,10000000,12000
297,S. Lichtsteiner,33,Switzerland,82,82,Juventus,8500000,115000
298,R. Jarstein,32,Norway,82,82,Hertha BSC Berlin,12500000,30000
299,Gabriel Jesus,20,Brazil,81,92,Manchester City,31000000,115000
300,Nalson Semedo,23,Portugal,81,87,FC Barcelona,20500000,125000
301,Gelson Martins,22,Portugal,81,88,Sporting CP,25000000,20000
302,Malcom,20,Brazil,81,87,Girondins de Bordeaux,24500000,47000
303,J. Weigl,21,Germany,81,87,Borussia Dortmund,21000000,46000
304,D. Sanchez,21,Colombia,81,88,Tottenham Hotspur,21500000,70000
305,A. Kramaric,26,Croatia,81,83,TSG 1899 Hoffenheim,22000000,50000
306,M. Brozovic,24,Croatia,81,85,Inter,23000000,64000
307,Williams,23,Spain,81,87,Athletic Club de Bilbao,24500000,31000
308,Dani Garcaea,27,Spain,81,82,SD Eibar,17000000,26000
309,A. Christensen,21,Denmark,81,89,Chelsea,23000000,86000
310,J. Kimmich,22,Germany,81,87,FC Bayern Munich,20500000,81000
311,Bruma,22,Portugal,81,86,RB Leipzig,24000000,63000
312,D. Berardi,22,Italy,81,87,Sassuolo,24500000,62000
313,M. Sanson,22,France,81,87,Olympique de Marseille,24000000,34000
314,A. Rabiot,22,France,81,86,Paris Saint-Germain,23500000,77000
315,R. Guerreiro,23,Portugal,81,86,Borussia Dortmund,24000000,58000
316,J. Vardy,30,England,81,81,Leicester City,17000000,89000
317,H. Ziyech,24,Morocco,81,85,Ajax,23000000,16000
318,M. Keane,24,England,81,87,Everton,21000000,91000
319,Jorginho,25,Italy,81,84,Napoli,22000000,71000
320,Hactor Belleraen,22,Spain,81,88,Arsenal,21000000,91000
321,J. Butland,24,England,81,87,Stoke City,18000000,50000
322,S. Zaza,26,Italy,81,82,Valencia CF,21000000,44000
323,T. Meunier,25,Belgium,81,84,Paris Saint-Germain,18500000,77000
324,Felipe Anderson,24,Brazil,81,86,Lazio,24000000,57000
325,Rafinha,24,Brazil,81,86,FC Barcelona,23500000,140000
326,Nacho Fernandez,27,Spain,81,83,Real Madrid CF,17500000,150000
327,J. Cillessen,28,Netherlands,81,83,FC Barcelona,15000000,125000
328,Sergi Roberto,25,Spain,81,86,FC Barcelona,19500000,140000
329,W. Ben Yedder,26,France,81,82,Sevilla FC,21000000,26000
330,Lucas Parez,28,Spain,81,81,RC Deportivo de La Coruna,18500000,140000
331,R. Barkley,23,England,81,86,Everton,24000000,105000
332,C. Bakambu,26,DR Congo,81,84,Villarreal CF,22500000,45000
333,W. Zaha,24,Ivory Coast,81,84,Crystal Palace,22500000,60000
334,Bartra,26,Spain,81,83,Borussia Dortmund,18000000,61000
335,S. Aurier,24,Ivory Coast,81,85,Tottenham Hotspur,19000000,79000
336,S. Coates,26,Uruguay,81,83,Sporting CP,18000000,21000
337,G. Krychowiak,27,Poland,81,83,West Bromwich Albion,17500000,81000
338,K. Kampl,26,Slovenia,81,83,RB Leipzig,21000000,73000
339,D. Lovren,27,Croatia,81,83,Liverpool,17500000,110000
340,A. Yarmolenko,27,Ukraine,81,81,Borussia Dortmund,18500000,72000
341,Y. Belhanda,27,Morocco,81,81,Galatasaray SK,18500000,71000
342,Mario Fernandes,26,Russia,81,82,CSKA Moscow,17000000,52000
343,R. Rodriguez,24,Switzerland,81,84,Milan,18500000,83000
344,J. Corona,24,Mexico,81,85,FC Porto,23000000,17000
345,Mario Gaspar,26,Spain,81,84,Villarreal CF,18000000,38000
346,Marcos Alonso,26,Spain,81,83,Chelsea,17500000,115000
347,M. Gatze,25,Germany,81,85,Borussia Dortmund,22500000,63000
348,L. Hradecky,27,Finland,81,83,Eintracht Frankfurt,14500000,28000
349,Illarramendi,27,Spain,81,81,Real Sociedad,18000000,37000
350,De Marcos,28,Spain,81,81,Athletic Club de Bilbao,14000000,31000
351,C. Smalling,27,England,81,82,Manchester United,17000000,120000
352,Iturraspe,28,Spain,81,81,Athletic Club de Bilbao,17500000,33000
353,J. Wilshere,25,England,81,84,Arsenal,22000000,115000
354,S. Rudy,27,Germany,81,82,FC Bayern Munich,20000000,105000
355,M. Lanzini,24,Argentina,81,87,West Ham United,24500000,95000
356,R. Boudebouz,27,Algeria,81,82,Real Betis Balompia,20500000,32000
357,Camacho,27,Spain,81,84,VfL Wolfsburg,18000000,66000
358,Paulinho,28,Brazil,81,81,FC Barcelona,17500000,170000
359,N. Kalinic,29,Croatia,81,81,Milan,18000000,84000
360,Giuliano,27,Brazil,81,82,Fenerbahae SK,20500000,80000
361,C. Benteke,26,Belgium,81,83,Crystal Palace,22000000,75000
362,D. Perotti,28,Argentina,81,81,Roma,18000000,84000
363,M. Parolo,32,Italy,81,81,Lazio,13500000,60000
364,K. Mitroglou,29,Greece,81,81,Olympique de Marseille,18000000,44000
365,M. Sakho,27,France,81,82,Crystal Palace,17000000,63000
366,A. Rami,31,France,81,81,Olympique de Marseille,12000000,35000
367,S. Jovetic,27,Montenegro,81,82,AS Monaco,21000000,48000
368,S. Coleman,28,Republic of Ireland,81,81,Everton,14000000,115000
369,S. Kjaer,28,Denmark,81,82,Sevilla FC,16000000,23000
370,Adan,30,Spain,81,81,Real Betis Balompia,11500000,24000
371,M. Valbuena,32,France,81,81,Fenerbahae SK,14000000,86000
372,S. Mignolet,29,Belgium,81,81,Liverpool,12000000,91000
373,D. Astori,30,Italy,81,81,Fiorentina,13000000,68000
374,K. Mirallas,29,Belgium,81,81,Everton,17500000,125000
375,Raal Garcaea,30,Spain,81,81,Athletic Club de Bilbao,17000000,32000
376,M. Skrtel,32,Slovakia,81,81,Fenerbahae SK,10000000,73000
377,T. Heaton,31,England,81,81,Burnley,11000000,51000
378,H. Ben Arfa,30,France,81,81,Paris Saint-Germain,17000000,88000
379,Dante,33,Brazil,81,81,OGC Nice,7000000,39000
380,A. Gignac,31,France,81,81,Tigres U.A.N.L.,16000000,84000
381,Gabi,33,Spain,81,81,Atlatico Madrid,10500000,62000
382,G. Rodraeguez,33,Argentina,81,81,San Lorenzo de Almagro,7000000,27000
383,D. Srna,35,Croatia,81,81,Shakhtar Donetsk,3800000,1000
384,B. Schweinsteiger,32,Germany,81,81,Chicago Fire Soccer Club,13500000,13000
385,C. Carrasso,35,France,81,81,Galatasaray SK,4200000,34000
386,Moya,33,Spain,81,81,Atlatico Madrid,9000000,46000
387,W. Rooney,31,England,81,81,Everton,15500000,120000
388,P. Mertesacker,32,Germany,81,81,Arsenal,10000000,110000
389,T. Motta,34,Italy,81,81,Paris Saint-Germain,5500000,81000
390,Fernando Torres,33,Spain,81,81,Atlatico Madrid,11000000,68000
391,S. Eto'o,36,Cameroon,81,81,Antalyaspor,6500000,22000
392,M. Rashford,19,England,80,89,Manchester United,22000000,74000
393,S. Milinkovia-Savic,22,Serbia,80,86,Lazio,20000000,52000
394,Y. Tielemans,20,Belgium,80,90,AS Monaco,23500000,35000
395,Jemerson,24,Brazil,80,86,AS Monaco,17500000,35000
396,N. Bentaleb,22,Algeria,80,85,FC Schalke 04,19500000,42000
397,Alisson,24,Brazil,80,84,Roma,14000000,45000
398,Alex Telles,24,Brazil,80,84,FC Porto,16000000,15000
399,J. Brandt,21,Germany,80,88,Bayer 04 Leverkusen,22000000,49000
400,K. Demirbay,23,Germany,80,84,TSG 1899 Hoffenheim,19500000,40000
401,D. Rugani,22,Italy,80,88,Juventus,19000000,88000
402,Samu Castillejo,22,Spain,80,85,Villarreal CF,20000000,36000
403,P. Zielinski,23,Poland,80,87,Napoli,20500000,64000
